company,market,market_ru,about,description,earnings,stage,inter_track,company_link,sbis_link
нпо теххиммаш,industrialtech,промышленные технологии,инновационная технология обеззараживания воды,"компания специализируется на разработке высокотехнологичных инновационных фильтрационных установок для очистки воды. технология компания строится на тонкой (до 2 микрометров) механической фильтрации широкого спектра жидкостей и газов (от воды до взрывоопасных и горячих сред) с уникальной системой автоматической регенерации фильтрующего элемента высоким давлением.преимуществом компании является уникальная технология, которая может быть использована во всех отраслях промышленности, а ее внедрение позволяет решать задачи по энергоэффективности, импортозамещению, а также способствует снижению операционных затрат и экологической нагрузки предприятий.",до 100 млн.руб,раунд а,False,https://navigator.sk.ru/orn/1124681,https://sbis.ru/contragents/7813216591/781301001
космо спг,industrialtech,промышленные технологии,получение сверхчистого водорода,"компания специализируется на производстве установок для получения сверхчистого водорода из природного газа. компания использует собственные мультиклапанные фильтрационные разработки. технологическое ядро компании – процесс плазменного пиролиза в бескислородной среде, предотвращающий образование частиц углекислого газа. чистота водорода на выходе составляет 99,99%. компания использует мультиклапанную систему,  которая позволяет заправлять водород под высоким давлением, контролировать давление и температуру в баллоне, а также обеспечивать на выходе низкое давление. в заводском производстве потока сверхчистого водородного продукта, содержание оксида углерода в газовой смеси, полученной комбинацией частичного окисления и парового риформинга углеводородного сырья, будет превращаться в водород путем реакции каталитического сдвига с паром, которая дает co2 в качестве побочного продукта. данная система может достигать извлечения водорода выше 95% от всего возможного производства h2 в синтез-газе, полученном как из h2, так и из содержания co, в виде чистого водородного продукта при высоком давлениипреимуществом компании является наличие большого количества собственных технологических разработок, патентов и научных исследований. также представители компании находятся в постоянной тесной коммуникации с ведущими научными институтами, что обеспечивает постоянное развитие внутренних ниокр.",до 100 млн.руб,раунд а,False,https://kosmos-sp.ru/#production,https://sbis.ru/contragents/9718181832/771801001
кафедра газонефтетранспортных систем и оборудования нефтяной и газовой промышленности,industrialtech,промышленные технологии,получение сверхчистого водорода,"проект специализируется на установке регенерации метанола. процесс регенерации метанола из водных растворов без применения методовтепловой сепарации обусловлен использованием синтетических цеолитов в качестве адсорбирующего вещества. попадая в блок адсорберов, водометанольная смесь подвергается адсорбции, в результате которой происходит избирательное поглощение молекул воды слоем цеолита. при этом цеолиты способны к поглощению других молекул без изменения в собственной кристаллической структуре, благодаря своей развитой внутренней поверхности. избирательное поглощение молекул воды обусловлено размерами пор цеолита. использование синтетического цеолита позволяет снизить энергозатраты на регенерацию метанола, повысить экологичность и технологическую безопасность процесса регенерации метанола, так как не требует условий высоких температур и оснащения большим количеством технологического оборудования.установка работает следующим образом. смесь углеводородов и водометальногораствора, после осушки природного газа поступает в трехфазный сепаратор, отделившиеся углеводороды, которые перешли в газовую фазу собираются в верхнее части сепаратора, проходят через устройство улавливания капельной жидкости и выводятся через штуцер выхода жидких углеводородов, жидкость, проходя устройство распределения и гидродинамической опалесценции, равномерно распределяется по всему сечению сепаратора и вследствие разницы удельного веса разделяется на метанол и воду, отделившаяся вода скапливается в нижней части сепаратора и отводится через штуцер.регенерация синтетического цеолита в адсорберах осуществляется природным газом, азотом, метаном или атмосферным воздухом при температуре 200-250°с. после регенерации газ регенерации попадает в двухфазный сепаратор , где от газа отделяют жидкую фазу и подают ее на испаритель. газ при этом подают в аппарат воздушного охлаждения 9, а после аппарата воздушного охлаждения обратно на блок адсорберов для охлаждения адсорбента после процесса регенераций.",до 100 млн.руб,pre-seed,False,https://kubstu.ru/s-217,
карбонсайкл,industrialtech,промышленные технологии,переработка co2,"компания специализируется на улавливании co2 и его переработки. технология подразумевает использование углекислого газа, образующегося в результате деятельности промышленных предприятий, и отходов металлургического производства (шлаков) в качестве сырья при производстве продукции строительного назначенияпреимуществом компании является наличие технологии создания сырья из переработанного co2. данное решение может быть использовано на различных промышленных предприятиях, что позволит снизить их углеродный след и повысить конкурентоспособность в условиях постоянного ужесточения требований по снижению выбросов со2.",до 100 млн.руб,pre-seed,False,https://navigator.sk.ru/orn/1124505,
тюмнт,industrialtech,промышленные технологии,катализаторы для нефтехимии,"компания специализируется на изготовлении, производстве, химических реагентов для нефтегазовой отрасли. линейка нефтепромысловой химии компании включает в себя химические реагенты для бурения скважин, добычи, транспортировки, подготовки нефти, а также для защиты нефтепромыслового оборудования и трубопроводов от коррозии, и других отложений. деойлер “тюмнт-део” предназначен для очистки воды от масел, нефти, нефтепродуктов, разделения водонефтяных эмульсий, а также для улучшения органолептических и химических показателей качества при очистке природных и сточных вод промышленных предприятий. деэмульгаторы серии «тюмнт-дэ» предназначены для применения в процессах кислотных обработок призабойных зон скважин (опз, бопз, бско, матричные бопз) и кислотного гидроразрыва пласта (кгрп) с целью снижения риска образования стойкой нефтекислотной эмульсии. механизм действия реагента основывается на снижении поверхностного натяжения границ раздела нефть-кислота, таким образом минимизируя вероятность получения при освоении высоковязкой эмульсии. представляет собой раствор неионогенных поверхностно-активных веществ в среде метанола. ключевыми продуктами компании являются особые реагенты, помогающие корпорации снижать риск образования стойкой нефтекислотной эмульсии и повышающие качество подготовки нефти, предотвращает образование промежуточных слоев. также стоит отметить, что технология компании помогает снижаеть температуру застывания сырых нефтей и мазутов, снижает или полностью исключает необходимость в дистиллятных материалах при транспортировке и хранении тяжелых материалов.",до 100 млн.руб,раунд а,False,https://tyumnt.ru/,https://sbis.ru/contragents/7203440419/720301001
нпо биомикрогели,industrialtech,промышленные технологии,катализаторы для нефтехимии,"компания специализируется на производстве химических реагентов для очистки от нефти. это субмикронные частицы полисахаридов, полученные из вторичныхпродуктов сельскохозяйственной переработки: яблочного и свекловичного жома, целлюлозы, крахмала, обладающие обратимой растворимостью. эффективно улавливают в воде нефть и нефтепродукты, минеральные ирастительные масла, животные жиры. экологически безопасный реагент из природных полисахаридов, копулирующий нефтепродукты и позволяющий легко отделить их от воды. флокулянты добавляют в жидкость после коагулянтов, чтобы укрупнить и уплотнить осадок, который получился в результате коагуляции. но в ряде случаев они могут применяться без коагулянтов и сначала собирают примеси, а потом формируют из них флокулы. флокуляция – это вид коагуляции. она тоже объединяет мелкие взвешенные частицы в группы и образует осадок, но между этими процессами есть отличия. коагулянты снимают с частиц заряд, и они уже могут сталкиваться друг с другом и образовывать группы. флокулянты соединяют эти группы полимерными мостиками. для коагуляции используют соли металлов: хлорид железа, сульфат железа, хлорид алюминия, сульфат алюминия и другие. во флокуляции применяют, в основном, органические вещества: анионные, катионные, амфотерные флокулянты на основе полиакриламида, акрилата и других веществ. коагуляция требует в десять раз больше реагентов, чем флокуляция. если на литр жидкости нужно 20 мг коагулянта, то флокулянта – 1–2 мг. в процессе флокуляции образуется более крупный осадок, чем при коагуляции, его проще отделить от жидкости. если сравнивать коагуляцию и флокуляцию, то преимущество последней – это более компактный, плотный осадок и, как следствие, более прозрачная вода.это преимущество позволяет: реже обслуживать и ремонтировать систему фильтрации, потому что в воде нет мелких частиц, которые забивают фильтр.быстрее отфильтровывать крупный осадок, экономить время на процессах, которые снижают цветность и мутность воды. это помогает обрабатывать больше жидкости.",до 100 млн.руб,раунд b,False,https://biomicrogel.com/ru/,
вилмари,industrialtech,промышленные технологии,цифровой двойник обородуования,"компания специализируется на разработке по для цифровизации процесса работы буровых инструментов. ключевым продуктом компании является система арби (анализ работы бурового инструмента).преимуществом продукта является закрытие продуктом всей цепочки процессов, связанных с управлением буровым инструментом, в частности: управления, складского учёта и логистики буровым инструментом (би); учёта и контроля фактической эксплуатации би; прогнозирования дальнейшего поведения би в эксплуатации; исключения/минимизации аварийных ситуаций и финансовых потерь.",до 100 млн.руб,раунд а,False,https://www.spgholding.ru/arbi,https://sbis.ru/contragents/6685023448/667001001
ртсим,industrialtech,промышленные технологии,цифровая платформа для обучения сотруднков,"компания ооо «rtsim» разрабатывает платформу для быстрого создания динамических цифровых близнецов для процессов переработки нефти и газа. динамические цифровые близнецы компании основаны на математическом моделировании гидравлики, тепломассообмена, физической химии и других аспектах химической технологии. преимуществом данной компании является, то что разработанная платформа создания цифровых двойников «rtsim», по результатам внедрений тренажеров на производствах идет непрерывное улучшение платформы и может быть использована в целом для цифровизации процесса работы клиентов заказчика.",до 100 млн.руб,раунд а,False,https://rtsim.ru/,https://sbis.ru/contragents/1655298774/773101001
субтех,industrialtech,промышленные технологии,производство сушильного оборудования для пищевой промышленности,"компания специализируется производстве промышленных и лабораторных сублиматоров.компания занимается разработкой и производством дегидратационной техники для различных отраслей промышленности. кроме того, проектирует и изготавливает сублимационное и сушильное оборудование под заказ.технология сублимационной сушки является очень перспективной. с каждым годом к ней большой интерес с разных сторон. в россии практически нет производителей сублиматоров и нет технологии и знаний по их производству. в основном все сублиматоры в нашей стране импортируются из других стран и стоят огромных денег. наша компания занимается разработкой оборудования и популяризацией технологии. компания производит сублиматоры для разных целей и задач, изучает технологию, разрабатывает софт, экспериментирует с методами нагрева и конструкциями установок. на данный момент разработаны и произведены три разные установки. одна с малой площадью полок, бытовая серия. вторая на экспорт для сублимации кобыльего молоко, с радиационным методом нагрева. еще одна на внутренний рынок с охлаждаемыми полками для сублимации азотных бактерий. также ведется ниокр по лабораторной установке. основные цели компании. компания должна стать лидером в россии по производству сублиматоров, как промышленных так и бытовых, лабораторных. продолжить исследовательскую работу по сублиматорам для фармацевтики, лабораторий, для переработки и утилизации отходов в частности по шнековым сублиматорам.преимуществом компании является инновационная технология, которая может интегрироваться в производственный цикл заказчика.",до 100 млн.руб,раунд а,False,https://subteh.com/,https://sbis.ru/contragents/1660352459/166001001
t-soft,industrialtech,промышленные технологии,по для автоматизации производственных процессов для нефтегазовой отрасли,"компания специализируется на разработке и внедрении новых инновационных решений на промышленных предприятиях нефтеперерабатывающей и химической отрасли. продукты компании увеличивают уровень автоматизации, надежности и безопасности технологических объектов, а также экономические показатели.преимуществом компании является синергия ученых, инженеров и технологов, которые уже много лет совершенствуют технологические и цифровые продукты компании, что отражается в высоком уровне надежности и безопасности.",500-1000 млн.руб,раунд с,False,https://www.t-soft.ru/,https://sbis.ru/contragents/7810096046/781001001
bim-cluster,constructiontech,строительные технологии,платформа для контроля строительства,"платформа по проверке и использованию данных информационных моделей зданий для контроля сроков, стоимости и качества инвестиционно-строительных проектов.",до 100 млн.руб,seed,False,https://bimcl.ru/,https://sbis.ru/contragents/6670474127/667101001
bitok,web3,технология веб3,крипто-анализатор,"сервис для контроля, учета и аналитики криптовалют.",до 100 млн.руб,seed,True,https://bitok.org/,
cera,retailtech,розничная торговля,аналитика в ритейле,"платформа, которая автоматизирует ключевые процессы в ритейле с помощью компьютерного зрения и ии.",до 100 млн.руб,seed,False,https://ceramarketing.com/,https://sbis.ru/contragents/7806521523/772701001
cleverence,retailtech,розничная торговля,по для автоматизации ритейла,программное обеспечение для мобильных компьютеров со специальными сканерами штрихкодов для работы на складах и в магазинах.,100-500 млн.руб.,раунд а,True,https://ceramarketing.com/,https://sbis.ru/contragents/7806521523/772701001
edpro,edtech,образовательные технологии,система управления обучением,гибкая lms платформа онлайн-обучения для экспертов и школ.,100-500 млн.руб.,раунд а,False,https://edprodpo.com/,
merusoft,business intelligence,бизнес аналитика,упрвление офисом,"система управления офисным пространством для бизнес-центров, офисов и компаний.",до 100 млн.руб,seed,True,https://merusoft.ru/,
mitigator,cybersecurity,информационная безопасность,защита от ddos атак,"инструмент для защиты от ddos-атак, предназначенный для операторов связи, хостингов, корпоративных клиентов и поставщиков услуг цифровой безопасности.",до 100 млн.руб,seed,False,https://mitigator.ru/,
mygig,business software,программное обеспечение для бизнеса,массовый headhunter,"сервис для поиска подработок и временной занятости для массовых профессий (продавцы, курьеры, грузчики, водители и т.д.) с быстрыми выплатами.",до 100 млн.руб,seed,False,https://mygig.ru/,
nopaper,business intelligence,бизнес аналитика,автоматизация документов,"документооборот в смартфоне: отправить и подписать документ так же просто, как перевести деньги по номеру телефона. в приложении вы можете выпустить бесплатную электронную подпись и подписывать документы из любой точки мира.",до 100 млн.руб,seed,True,https://nopaper.ru/,
novobi,business software,программное обеспечение для бизнеса,автоматизация поставок,разработчик цифровой системы novo forecast enterprise для прогнозирования спроса и интегрированного планирования в цепях поставок. наши клиенты — крупные производственные и дистрибьюторские компании.,до 100 млн.руб,seed,False,https://novobi.ru/ru/,
peopleknow,business software,программное обеспечение для бизнеса,автоматизация сбора обратной связи,digital-платформа для проведения исследований и сбора обратной связи клиентов и сотрудников.,до 100 млн.руб,seed,True,https://www.peopleknow.ru/,
primorpa,business software,программное обеспечение для бизнеса,роботизация,"платформа в интересах бизнеса, специалистов ит и блоков цифровой трансформации, которым для решения задач сокращения участия человека в бизнес-процессах компаний необходимо иметь набор  инструментов для роботизации, реализующий ключевые функции роботизации процессов и интеграционных сценариев.",до 100 млн.руб,seed,False,https://primo-rpa.ru/,
servicepipe,cybersecurity,информационная безопасность,защита от киберугроз,"компания, развивающая инновационные решения по защитите от современных киберугроз как отдельных веб-ресурсов, так и всей сетевой инфраструктуры организаций. благодаря обширному опыту отражения кибератак любого объема и типа компания проводит нагрузочные и стресс-тесты, находит критические уязвимости в периметре безопасности.",100-500 млн.руб.,раунд а,False,https://www.servicepipe.ru/,https://sbis.ru/contragents/7708257951/772201001
skillfolio,hrtech,технология найма людей,диагностика кадров,цифровая платформа диагностики и развития soft skills.,до 100 млн.руб,seed,False,https://skillfolio.ru/,https://sbis.ru/contragents/9705121931/771001001
teletarget,telecom & communication,телекоммуникации и связь,лиды с тв-рекламы,"интерактивная реклама в тв-эфире. наши форматы позволяют дополнить и обогатить рекламные ролики, собрать лиды с экрана тв прямо во время трансляции. наш сервис позволяет найти целевую аудиторию среди телезрителей и эффективней использовать рекламный бюджет. мы используем собственные разработки на базе стандарта hbbtv.",до 100 млн.руб,pre-seed,False,https://teletarget.com/,
voxqube,media & entertainment,СМИ и развлечения,озвучка посредством синтеза речи,сервис мультиязычного озвучивания аудиовизуального контента посредством синтеза речи.,до 100 млн.руб,seed,True,https://cyrillica.ru/voxqube.html,
metascan,cybersecurity,информационная безопасность,saas для защиты корпораций от кибератак,saas для защиты корпораций от кибератак.,до 100 млн.руб,pre-seed,False,https://metascan.ru/,
top,edtech,образовательные технологии,академия для it,"очная и дистанционная академия it-образования для взрослых и детей с направлениями обучения в области программирования, графического дизайна, компьютерных сетей и безопасности, интернет-маркетинга и soft skills.",до 100 млн.руб,pre-seed,False,https://msk.top-academy.ru/,
securitm,cybersecurity,информационная безопасность,тестируют кибер-защиту компании,"b2b сервис, который решает проблемы управления информационной безопасностью компании в рамках единой платформы автоматизации. в качестве основного преимущества выделяется фокус на анализ защищенности компании от кибер атак и угроз изнутри предиктивным способом через оценку рисков.",до 100 млн.руб,pre-seed,False,https://securitm.ru/,
cyberpeak,cybersecurity,информационная безопасность,система защиты неструктурированнных данных,"система защиты неструктурированных данных. технологии машинного обучения позволяют выявлять нетипичные поведения сотрудников по отношению к неструктурированным данным, решая такие задачи как массовое удаление данных, аномальное изменение привилегий доступа, определение бизнес владельцев документов и другие.",до 100 млн.руб,pre-seed,False,https://cyberpeak.ru/,https://sbis.ru/contragents/9725025175/772501001
стингрей,cybersecurity,информационная безопасность,тестируют безопасность мобильных приложений,"система для поиска уязвимостей и автоматизации тестирования информационной безопасности мобильных приложений. продукт основан на собственной технологии записи и воспроизведения автотестов. позволяет настраивать необходимый уровень защищенности мобильного приложения, а также видеть статистику по ряду приложений в реальном времени.",до 100 млн.руб,pre-seed,False,https://1va.vc/about/projects/proekty_527.html,
hologroup,business software,программное обеспечение для бизнеса,ar/vr for enterprise,"компания по разработке голографических продуктов и решений для смешанной реальности на базе microsoft hololens, использующиеся для демонстрации архитектурных концепций, голографических экскурсий и презентаций.",до 100 млн.руб,pre-seed,False,https://holo.group/en/,https://sbis.ru/contragents/5024167801/773101001
crabler,business software,программное обеспечение для бизнеса,подписка на городские сервисы,"приложение для резидентов объектов недвижимости с маркетплейсом ежедневных сервисов. они подключают как известные городские сервисы, так и создаем новые.",до 100 млн.руб,pre-seed,False,https://promo.crabler.com,https://sbis.ru/contragents/7724448400/770501001
вдело,fintech,финансовые технологии,платформа для инвестирования,"инвестиционная платформа « вдело » – первая инвестиционная платформа, созданная инфраструктурой поддержки предпринимательства. платформа предоставляет возможность частным инвесторам вкладывать деньги в малый и средний бизнес через выдачу займов. все операции онлайн. займы на любые цели. для инвесторов – бесплатно. для заемщиков – комиссия при выдаче займов.",до 100 млн.руб,pre-seed,False,https://vdelo.pro,https://sbis.ru/contragents/6623134596/662301001
arknet,cybersecurity,информационная безопасность,реагирования на кибератаки,разработчик автоматизированных систем обнаружения и реагирования на кибератаки для предприятий критической информационной инфраструктуры.,до 100 млн.руб,pre-seed,False,https://www.avatecsoft.ru/,https://sbis.ru/contragents/9729294972/773101001
mybi,business software,программное обеспечение для бизнеса,большие данные,etl-сервис для работы с большими данными.,до 100 млн.руб,pre-seed,False,https://mybi.ru/,https://sbis.ru/contragents/7743218786/774301001
ncv,business software,программное обеспечение для бизнеса,поддержка приянтяи решений,компания создает информационные системы для поддержки принятия решений топ-менеджмента крупных корпораций. разработчик прототипа единой платформы для управления бизнес-процессами корпораций в виде облачного решения - valtron.,до 100 млн.руб,pre-seed,False,https://naviz.ru/,https://sbis.ru/contragents/7704458752/770401001
business architect,business software,программное обеспечение для бизнеса,моделирования бизнес-процессов,"business architect - платформа для моделирования и автоматизации бизнес-процессов, включающая в себя модуль визуализации, инструменты захвата (записи) бизнес-процессов, средства исполнения сценариев бизнес-процессов (программный робот) и оркестратор, позволяющий осуществлять управление сложными бизнес-процессами.",до 100 млн.руб,pre-seed,False,https://symma.pro/xx0104/business_mathematics,https://sbis.ru/contragents/9701162398/770101001
graviton,business software,программное обеспечение для бизнеса,low code для it,enterprise low-code платформа для быстрой реализации it-емких проектов цифровой трансформации,до 100 млн.руб,pre-seed,False,https://gravitonum.com/,https://sbis.ru/contragents/9731075537/773101001
salespilot,business software,программное обеспечение для бизнеса,конструктор коммерческих предложений,"онлайн-конструктор коммерческих предложений со встроенной аналитикой.повышение конверсии в сделку на 20%, ускорение цикла сделки на 30%, уменьшение времени на подготовку кп 50%.",до 100 млн.руб,pre-seed,False,http://salespilot.ru/,https://sbis.ru/contragents/9721111433/772101001
куапп,cybersecurity,информационная безопасность,алгоритмы для информационной безопасности,"решение информационной безопасности на основе квантово-устойчивых алгоритмов шифрования — данные решения позволяют защищать ценные данные бизнеса, государства и физических лиц от кибератак с применением как классических, так и квантовых компьютеров.",до 100 млн.руб,pre-seed,False,https://qapp.tech/,https://sbis.ru/contragents/9731047258/773101001
weeek,business software,программное обеспечение для бизнеса,сервис для управления командами,cервис для управления личными и командными проектамироссийский аналог trello.,до 100 млн.руб,pre-seed,False,https://weeek.net/ru,https://sbis.ru/contragents/7722489513/772201001
cloudduo,business software,программное обеспечение для бизнеса,разработка веб-сервисов,"у компании есть ряд продуктов - флагманский это:2nets app platform – платформа разработки приложений. она позволяет создавать приложения и веб-сервисы, интегрировать их посредством чат-ботов в мессенджер и медиа-платформу.2nets предоставляет клиентам набор инструментов и сервисов для создания мобильных и веб-приложений, обладающих функциональным возможностями суперприложения (super app).",до 100 млн.руб,pre-seed,False,https://www.clouduo.ru/,https://sbis.ru/contragents/2635816194/263401001
комбинатор про,business software,программное обеспечение для бизнеса,система создания документов,"система создания документов на основе умных шаблонов без знания программирования. исключает ошибки при создании документов. ускоряет подготовку в 5 раз.бизнес-модель: продажа подписок, готовых пакетов шаблонов под узкие ца, услуги по внедрению и разработке индивидуальных шаблонов.",до 100 млн.руб,pre-seed,False,https://www.kombinator.pro/,https://sbis.ru/contragents/2221040598/222401001
dialext,business software,программное обеспечение для бизнеса,речевая аналитика,"облачный сервис речевой аналитики. автоматизирует задачу контроля качества переговоров по телефону отдела продаж.автоматический аудит 100% телефонных звонков.особенности:• глубокая речевая аналитика с использованием ml;• разделение на менеджера и клиента даже в одноканальной записи;• 100% интеграция с crm;• построение профиля компетенций, отслеживание динамики развития сотрудников.",до 100 млн.руб,pre-seed,False,https://www.dialext.com/,https://sbis.ru/contragents/3812526191/381201001
